SIMULATION 2 FACTIONS
Name ;Death; Money ;Prod ;Spent ;Nb colonies ;Nb attacks ;Nb success ;Nb fails ;ML x;ML y;ML natdef;ML natprod;ML findef;ML finprod;;Name ;Death; Money ;Prod ;Spent ;Nb colonies ;Nb attacks ;Nb success ;Nb fails ;ML x;ML y;ML natdef;ML natprod;ML findef;ML finprod;;
Red;71;15061;70815;55754;142;267;225;42;16;8;33;8;87;24;;Blue;73;5836;60582;54746;128;265;219;46;15;12;32;8;86;26;;

Blue;26;210;712;502;8;8;7;1;8;5;47;1;80;17;;Red;28;1087;4249;3162;47;54;46;8;13;3;41;11;77;30;;

Red;57;176;29745;29569;32;141;124;17;12;17;47;15;99;32;;Blue;59;35213;117226;82013;349;499;410;89;12;10;46;3;100;19;;

Blue;37;400;1543;1143;16;21;16;5;7;12;40;3;91;19;;Red;39;5409;11366;5957;65;77;64;13;0;14;45;3;96;22;;

Red;56;248;18221;17973;67;126;105;21;6;9;46;8;97;28;;Blue;58;3441;35014;31573;131;197;159;38;7;13;30;6;85;25;;

Red;39;192;2592;2400;21;30;25;5;3;12;33;3;85;23;;Blue;41;10708;24762;14054;159;200;160;40;9;8;49;15;100;31;;

Red;6981;3.39191e+06;2.12779e+07;1.7886e+07;17;42213;38023;4190;16;0;47;7;98;27;;Blue;6983;2.26398e+07;4.0668e+07;1.80282e+07;385;42620;38218;4402;7;18;46;5;100;25;;

Blue;40;252;2480;2228;10;24;20;4;0;4;32;4;67;22;;Red;42;5416;20278;14862;110;141;112;29;7;1;31;15;84;31;;

Blue;65;1354;49939;48585;136;276;215;61;8;11;49;7;100;24;;Red;67;20302;84888;64586;208;336;275;61;13;7;44;13;97;29;;

Blue;1765;1.77227e+06;6.30182e+06;4.52955e+06;67;10672;9598;1074;17;15;45;11;99;28;;Red;1767;4.48507e+06;9.14948e+06;4.66442e+06;334;10915;9732;1183;0;10;42;8;97;26;;

Red;2558;6.27086e+06;1.27633e+07;6.49248e+06;146;15507;13998;1509;5;7;34;13;88;30;;Blue;2560;3.19239e+06;9.88437e+06;6.69198e+06;257;15658;14036;1622;18;8;31;14;82;30;;

Blue;713;1.86984e+06;3.60691e+06;1.73707e+06;195;4317;3887;430;6;6;35;12;87;32;;Red;715;663592;2.47258e+06;1.80899e+06;207;4301;3827;474;1;18;25;8;76;28;;

Blue;854;181834;2.2428e+06;2.06097e+06;122;4983;4477;506;0;2;26;11;78;30;;Red;856;2.68361e+06;4.76753e+06;2.08392e+06;280;5197;4611;586;2;13;47;15;99;32;;

Red;5595;1.26429e+07;2.69108e+07;1.42679e+07;141;34196;30856;3340;16;16;48;11;100;28;;Blue;5597;8.38902e+06;2.28606e+07;1.44716e+07;262;34212;30892;3320;12;2;30;12;83;29;;

Red;5536;3.67744e+06;1.80448e+07;1.43674e+07;46;33883;30547;3336;19;10;27;2;80;22;;Blue;5538;1.60056e+07;3.06271e+07;1.46215e+07;352;34160;30679;3481;1;19;29;12;80;31;;

Red;551;169;1.1524e+06;1.15223e+06;11;2843;2549;294;0;2;43;5;96;21;;Blue;553;2.05756e+06;3.36814e+06;1.31059e+06;390;3115;2757;358;17;19;33;10;84;28;;

Red;1315;623538;3.73045e+06;3.10692e+06;41;7657;6911;746;0;7;45;13;96;31;;Blue;1317;4.0488e+06;7.33165e+06;3.28285e+06;361;7901;7073;828;19;14;40;2;94;21;;

Red;237;219569;715583;496014;179;1332;1186;146;1;11;28;6;80;25;;Blue;239;380574;874659;494085;224;1383;1210;173;4;0;30;5;81;21;;

Red;1824;3.31001e+06;8.08239e+06;4.77238e+06;171;11225;10054;1171;5;16;26;7;80;27;;Blue;1826;2.61685e+06;7.46445e+06;4.84759e+06;231;11210;10063;1147;19;12;49;3;104;21;;

Red;7152;8.99255e+06;2.73294e+07;1.83369e+07;104;43867;39514;4353;3;8;30;7;84;23;;Blue;7154;1.74505e+07;3.58029e+07;1.83524e+07;299;44010;39577;4433;17;1;39;9;91;25;;

Red;1176;2.64189e+06;5.53422e+06;2.89234e+06;185;7180;6450;730;14;6;39;12;91;30;;Blue;1178;1.37935e+06;4.34869e+06;2.96934e+06;219;7179;6431;748;8;16;40;7;91;23;;

Red;530;879585;2.1399e+06;1.26031e+06;196;3158;2832;326;6;5;32;1;86;20;;Blue;532;789497;2.01145e+06;1.22196e+06;204;3152;2827;325;17;2;42;4;96;24;;

Blue;876;1.78892e+06;4.02284e+06;2.23393e+06;219;5351;4766;585;12;1;40;4;91;20;;Red;878;1.24568e+06;3.41686e+06;2.17118e+06;181;5342;4772;570;3;7;49;11;103;27;;

Red;1812;930378;5.48842e+06;4.55805e+06;47;10948;9810;1138;3;0;46;15;98;33;;Blue;1814;5.55175e+06;1.02343e+07;4.68255e+06;352;11070;9964;1106;4;14;44;9;95;25;;

Red;118;16111;189832;173721;114;565;500;65;19;7;42;8;97;26;;Blue;120;175442;407047;231605;290;760;646;114;15;16;47;11;99;27;;

Blue;88;313;42338;42025;16;207;175;32;18;7;25;1;76;19;;Red;90;206084;327214;121130;387;594;475;119;5;6;27;13;80;29;;

Blue;122;539;102920;102381;25;377;341;36;5;1;34;8;85;24;;Red;124;302595;511261;208666;374;749;623;126;7;9;44;0;99;19;;

Red;287;393493;1.03291e+06;639420;217;1703;1525;178;0;11;39;3;90;19;;Blue;289;351232;986725;635493;187;1669;1499;170;1;2;48;2;103;19;;

Red;56;452;16333;15881;33;100;80;20;3;18;33;4;85;20;;Blue;58;17730;62410;44680;234;315;257;58;10;14;31;11;84;28;;

Blue;681;495455;2.09644e+06;1.60098e+06;139;4006;3614;392;12;15;42;6;94;22;;Red;683;1.9547e+06;3.63529e+06;1.68058e+06;261;4188;3710;478;9;4;42;12;97;29;;

Red;1687;374806;4.71093e+06;4.33613e+06;76;10317;9295;1022;19;1;49;4;104;22;;Blue;1689;5.67555e+06;1.00541e+07;4.37859e+06;326;10561;9466;1095;4;12;39;2;91;18;;

Blue;30;177;2694;2517;21;37;24;13;17;12;35;7;72;23;;Red;32;615;3265;2650;20;22;22;0;19;11;26;14;75;30;;

Red;80;173;14622;14449;20;96;77;19;14;19;38;2;91;18;;Blue;82;119173;176650;57477;322;443;351;92;16;5;31;4;82;21;;

