SIMULATION 2 FACTIONS
Nb tours ;fac win ;nb success;nb fails ;nb attacks
73;Blue;444;88;532

28;Red;53;9;62

59;Blue;534;106;640

39;Red;80;18;98

58;Blue;264;59;323

41;Blue;185;45;230

6983;Blue;76241;8592;84833

42;Red;132;33;165

67;Red;490;122;612

1767;Red;19330;2257;21587

2560;Blue;28034;3131;31165

715;Red;7714;904;8618

856;Red;9088;1092;10180

5597;Blue;61748;6660;68408

5538;Blue;61226;6817;68043

553;Blue;5306;652;5958

1317;Blue;13984;1574;15558

239;Blue;2396;319;2715

1826;Blue;20117;2318;22435

7154;Blue;79091;8786;87877

1178;Blue;12881;1478;14359

532;Blue;5659;651;6310

878;Red;9538;1155;10693

1814;Blue;19774;2244;22018

120;Blue;1146;179;1325

90;Red;650;151;801

124;Red;964;162;1126

289;Blue;3024;348;3372

58;Blue;337;78;415

683;Red;7324;870;8194

1689;Blue;18761;2117;20878

32;Red;46;13;59

82;Blue;428;111;539

2220;Blue;24259;2747;27006

81;Blue;642;125;767

270;Red;2820;372;3192

68;Red;383;79;462

48;Blue;303;63;366

52;Red;234;39;273

929;Blue;10033;1173;11206

4501;Red;49319;5501;54820

46;Blue;160;39;199

589;Red;6168;697;6865

57;Blue;345;67;412

38;Blue;120;29;149

18;Blue;3;0;3

77;Red;554;114;668

2438;Red;26662;2972;29634

45;Blue;82;16;98

80;Blue;428;95;523

37;Red;72;19;91

3108;Red;33802;3783;37585

41;Blue;157;40;197

33;Blue;39;10;49

40;Blue;204;53;257

28;Blue;26;5;31

173;Red;1551;251;1802

60;Blue;309;58;367

2256;Red;24634;2850;27484

2997;Blue;32628;3752;36380

67;Blue;527;119;646

39;Red;121;30;151

67;Blue;473;108;581

382;Blue;3941;452;4393

68;Blue;296;58;354

357;Red;4066;493;4559

83;Blue;655;122;777

223;Blue;2523;307;2830

48;Blue;147;24;171

87;Blue;617;132;749

3247;Blue;35868;4012;39880

69;Red;292;54;346

2306;Red;25002;2920;27922

1267;Red;14067;1518;15585

162;Red;1567;250;1817

173;Blue;1981;239;2220

774;Blue;8487;936;9423

191;Red;1788;257;2045

122;Red;863;144;1007

126;Red;707;153;860

189;Red;1751;244;1995

481;Red;4776;565;5341

8601;Blue;95547;10581;106128

57;Red;329;84;413

1138;Blue;12250;1392;13642

134;Red;1026;186;1212

45;Blue;105;16;121

392;Blue;3534;472;4006

91;Blue;879;148;1027

651;Red;7159;826;7985

91;Blue;799;139;938

12536;Red;138756;15260;154016

355;Red;3920;473;4393

64;Blue;240;43;283

198;Red;1922;264;2186

163;Blue;1369;217;1586

2671;Blue;29279;3329;32608

1548;Red;16812;1889;18701

88;Blue;610;119;729

72;Red;414;86;500

